reporting_month,sales_month,platform,country,artist_name,release_title,upc,track_title,isrc,quantity,unit_price,revenue,currency,sales_type
2025-03,2025-03,Apple Music,United States,Wild Horizon,Roadside Ballads,3462475107993,Road Ballad,US-AMR-25-00103,1303,0.0104,13.55,USD,Stream
2025-01,2025-01,Spotify,United States,Wild Horizon,Ride or Die,1183842513545,Ride or Die,US-AMR-25-00100,183,0.0061,1.12,USD,Stream
2025-01,2025-01,Pandora,United States,John Legend,Gentle Touch,3164752553416,Gentle Touch,US-AMR-25-00012,1999,0.0072,14.39,USD,Stream
2025-01,2025-01,Spotify,United Kingdom,Amy Winters,Twilight Melodies,7242388496966,Twilight Symphony,US-AMR-25-00039,5502,0.0058,31.91,USD,Stream
2025-01,2025-01,TikTok,Turkey,Crystal Beats,Pulse Reactor,5098393010312,Pulse Reactor,US-AMR-25-00051,1194,0.0006,0.72,USD,Creation
2025-02,2025-02,YouTube Official Content,Canada,Neon Sky,Neon Rain,5869232260256,Neon Rain,US-AMR-25-00124,1221,0.0046,5.62,USD,Stream
2025-02,2025-02,TikTok,Ireland,Crystal Beats,Digital Dreams,5146270482810,Virtual Pulse,US-AMR-25-00044,1293,0.001,1.29,USD,Creation
2025-02,2025-02,Spotify,United States,Electric Avenue,Voltage Highway,6474687234302,Lightning Strikes,US-AMR-25-00085,5833,0.0058,33.83,USD,Stream
2025-03,2025-03,YouTube Official Content,United States,Crystal Beats,Bassline Revolution,1822782489632,Pulse Reactor,US-AMR-25-00051,7471,0.0047,35.11,USD,Stream
2025-01,2025-01,Apple Music,Canada,Crystal Beats,Crystal Energy,8346578713310,Energy Flow,US-AMR-25-00064,2284,0.0109,24.9,USD,Stream
2025-01,2025-01,Spotify,Other,Electric Avenue,Electric Sunrise,8121913619393,Electric Sunrise,US-AMR-25-00091,3444,0.0039,13.43,USD,Stream
2025-03,2025-03,Spotify,Peru,Wild Horizon,Wild Frontier,1182449353486,Brave Escape,US-AMR-25-00112,1553,0.0042,6.52,USD,Stream
2025-03,2025-03,Spotify,United States,Wild Horizon,Roadside Ballads,3462475107993,Countryside Tales,US-AMR-25-00101,4956,0.006,29.74,USD,Stream
2025-01,2025-01,Spotify,Other,Wild Horizon,Ride or Die,1183842513545,Ride or Die,US-AMR-25-00100,729,0.0038,2.77,USD,Stream
2025-02,2025-02,TikTok,United States,Crystal Beats,Bassline Revolution,1822782489632,Beat Surge,US-AMR-25-00059,1587,0.0012,1.9,USD,Creation
2025-01,2025-01,YouTube UGC,Mexico,Amy Winters,Twilight Melodies,7242388496966,Sunset Serenade,US-AMR-25-00040,3155,0.0008,2.52,USD,Creation
2025-03,2025-03,Spotify,Switzerland,John Legend,Legacy of Soul,9283276483505,Echoing Memories,US-AMR-25-00026,4135,0.0058,23.98,USD,Stream
2025-02,2025-02,TikTok,Australia,John Legend,Timeless Love,7940265423516,Timeless Love,US-AMR-25-00011,396,0.0012,0.48,USD,Creation
2025-03,2025-03,Spotify,United States,Crystal Beats,Digital Dreams,5146270482810,Digital Sunset,US-AMR-25-00045,4882,0.0062,30.27,USD,Stream
2025-02,2025-02,Soundcloud,United States,John Legend,Late Night Grooves,133890838634,Groove Horizon,US-AMR-25-00010,8700,0.0046,40.02,USD,Stream
2025-03,2025-03,KKBOX,Japan,Wild Horizon,Ride or Die,1183842513545,Ride or Die,US-AMR-25-00100,782,0.0047,3.68,USD,Stream
2025-01,2025-01,Apple Music,Malaysia,Crystal Beats,Pulse Reactor,5098393010312,Pulse Reactor,US-AMR-25-00051,988,0.0055,5.43,USD,Stream
2025-02,2025-02,Pandora,United States,John Legend,Blue Moon Serenade,1043321819608,Midnight Whisper,US-AMR-25-00006,5089,0.0075,38.17,USD,Stream
2025-01,2025-01,TikTok,Italy,John Legend,Legacy of Soul,9283276483505,Soulful Journey,US-AMR-25-00023,684,0.0008,0.55,USD,Creation
2025-01,2025-01,YouTube Official Content,Poland,Crystal Beats,Pulse Reactor,5098393010312,Pulse Reactor,US-AMR-25-00051,3566,0.0033,11.77,USD,Stream
2025-03,2025-03,Apple Music,Australia,Crystal Beats,Neon Hearts,7015430391171,Neon Hearts,US-AMR-25-00052,5154,0.0106,54.63,USD,Stream
2025-01,2025-01,Apple Music,United States,Crystal Beats,Synthetic Waves,4893252880959,Artificial Breeze,US-AMR-25-00054,862,0.0109,9.4,USD,Stream
2025-01,2025-01,YouTube Official Content,Spain,John Legend,Blue Moon Serenade,1043321819608,Midnight Whisper,US-AMR-25-00006,6958,0.0034,23.66,USD,Stream
2025-03,2025-03,YouTube UGC,United States,Neon Sky,Lights of Tomorrow,7868011280599,Urban Sunrise,US-AMR-25-00118,1770,0.0016,2.83,USD,Creation
2025-01,2025-01,YouTube UGC,United States,Electric Avenue,Night Drive,9805009788208,Neon Road,US-AMR-25-00089,2343,0.0015,3.51,USD,Creation
2025-01,2025-01,Spotify,Turkey,John Legend,Late Night Grooves,133890838634,Groove Horizon,US-AMR-25-00010,675,0.0033,2.23,USD,Stream
2025-02,2025-02,Soundcloud,United States,John Legend,Gentle Touch,3164752553416,Gentle Touch,US-AMR-25-00012,2209,0.0044,9.72,USD,Stream
2025-02,2025-02,Spotify,United States,Electric Avenue,Voltage Highway,6474687234302,Thunder Ride,US-AMR-25-00084,1789,0.0059,10.56,USD,Stream
2025-03,2025-03,YouTube Official Content,Other,Wild Horizon,Endless Journey,2784980841249,Burning Miles,US-AMR-25-00099,89,0.0029,0.26,USD,Stream
2025-03,2025-03,Spotify,Other,John Legend,Legacy of Soul,9283276483505,Rhythm of the Heart,US-AMR-25-00025,2445,0.004,9.78,USD,Stream
2025-02,2025-02,TikTok,Brazil,Midnight Echo,Nocturnal Whispers,6247317810807,Whispering Shadows,US-AMR-25-00080,1256,0.0006,0.75,USD,Creation
2025-01,2025-01,Spotify,Belgium,Electric Avenue,Voltage Highway,6474687234302,Electric Storm,US-AMR-25-00083,4464,0.0045,20.09,USD,Stream
2025-02,2025-02,YouTube Official Content,United States,Electric Avenue,Voltage Highway,6474687234302,Electric Storm,US-AMR-25-00083,4206,0.0046,19.35,USD,Stream
2025-03,2025-03,Apple Music,United States,Crystal Beats,Neon Hearts,7015430391171,Neon Hearts,US-AMR-25-00052,5603,0.0107,59.95,USD,Stream
2025-01,2025-01,TikTok,Mexico,Wild Horizon,Wild Frontier,1182449353486,Frontier Anthem,US-AMR-25-00108,274,0.0006,0.16,USD,Creation
2025-03,2025-03,YouTube Official Content,South Korea,John Legend,Timeless Love,7940265423516,Timeless Love,US-AMR-25-00011,3906,0.0039,15.23,USD,Stream
2025-02,2025-02,Spotify,Brazil,Midnight Echo,Echoes in the Dark,518347382999,Moonlit Shadows,US-AMR-25-00073,2385,0.0033,7.87,USD,Stream
2025-02,2025-02,Apple Music,United Kingdom,Electric Avenue,Electric Sunrise,8121913619393,Electric Sunrise,US-AMR-25-00091,4267,0.0101,43.1,USD,Stream
2025-01,2025-01,KKBOX,Japan,John Legend,Late Night Grooves,133890838634,Groove Horizon,US-AMR-25-00010,1451,0.0044,6.38,USD,Stream
2025-02,2025-02,Apple Music,Canada,Wild Horizon,Burning Miles,7401640052429,Burning Miles,US-AMR-25-00099,634,0.0107,6.78,USD,Stream
2025-02,2025-02,YouTube Official Content,United States,Midnight Echo,Silent Screams,106513338729,Silent Screams,US-AMR-25-00074,489,0.0047,2.3,USD,Stream
